timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp_marked
299302409,0.8495226,-0.0062322374,-0.08317104,0.5209177,1.4180532,-0.726109,10.48923,2.5120635,-12.603572,7.37259,0
299319076,0.84778064,-0.0050379876,-0.08377827,0.52366394,1.159964,-0.6732351,9.920024,5.9603496,-8.271855,22.498682,0
299335743,0.8470272,-0.00382452,-0.083038494,0.5250095,1.0788426,-1.3880125,9.45444,10.149187,0.12801878,10.811084,0
299352410,0.8471044,-0.002694304,-0.08209227,0.52504086,1.6262293,-1.1491572,9.736109,9.681685,2.1393332,0.21315536,0
299369077,0.84741217,-0.001461426,-0.08262573,0.5244652,1.7711034,-1.4622762,9.672235,4.6001,-6.7072763,-4.2408876,0
299385744,0.8485059,-0.00015629557,-0.08386472,0.5224984,1.5347677,-1.0234714,9.794092,1.6953773,-10.6174135,-15.228115,0
299402411,0.8497905,0.00154044,-0.08529734,0.5201714,1.2635688,-0.6034221,10.045921,3.077019,-13.04329,-18.241308,0
299419078,0.8509576,0.0035188883,-0.08562014,0.51819724,1.1764793,-0.7139179,9.930505,8.899944,-7.6320696,-15.936065,0
299435745,0.85110605,0.005179955,-0.08542063,0.51797205,1.6735954,-0.9318377,9.817372,9.958088,-4.0029597,-1.8997461,0
299452412,0.8511577,0.006858147,-0.08601372,0.51776946,1.8706528,-1.2014868,9.734821,7.2525144,-8.757792,-1.405459,0
299469079,0.8514633,0.008759318,-0.087219246,0.5170363,2.0311904,-1.0149091,9.955616,6.0521,-13.010032,-5.516198,0
299485746,0.8525731,0.010908873,-0.08840549,0.51496106,1.8246155,-1.056782,9.86753,6.7217894,-13.378087,-16.38232,0
299502413,0.8539395,0.013142257,-0.08991756,0.51237637,0.72460514,-0.37548137,9.57689,5.7309904,-15.466689,-20.304838,0
299519080,0.8561991,0.015013787,-0.09007925,0.5085112,0.86337686,-0.39616707,9.143517,7.4911084,-5.828268,-30.866451,0
299535747,0.858269,0.016620649,-0.08940984,0.5050784,1.8169246,-0.65139395,9.503112,9.125966,-0.08420201,-27.579836,0
299552414,0.8600759,0.018320272,-0.089848384,0.5018578,2.0667846,-0.69021046,9.68978,5.9865155,-7.081391,-25.344698,0
299569081,0.86190194,0.020176116,-0.09133524,0.49837336,2.0686862,-0.68549496,9.740166,3.1279032,-13.84043,-26.935236,0
299585748,0.8635081,0.021963872,-0.09332736,0.4951378,1.9550853,-0.64411825,9.821071,1.180077,-16.704506,-24.59465,0
299602415,0.8646319,0.023485748,-0.095093936,0.4927652,1.2659894,-0.23858567,9.717727,0.9959196,-14.639361,-17.692745,0
299619082,0.86602724,0.024726536,-0.09534316,0.49019894,1.1331441,-0.23749253,9.45438,4.295109,-4.52116,-19.825335,0
