timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
147706137,0.8328738,0.0010229897,0.15071994,0.53254473,-2.7108123,1.5841703,9.327559,8.828008,17.710913,3.1631062,0
147739471,0.83121127,0.00012455563,0.15781057,0.5330893,-2.6541157,1.6894723,8.919543,9.920538,22.231138,4.269036,0
147772805,0.8290637,-0.0026317122,0.16501132,0.5342451,-2.7830877,1.6813711,9.030328,4.4631333,26.201084,5.897101,0
147806139,0.82680064,-0.0060391137,0.17179638,0.5355841,-2.943791,1.4794747,8.895884,1.7354702,26.26644,6.2614794,0
147839473,0.8247181,-0.009779414,0.1787411,0.5364663,-2.9958124,1.583907,8.919286,1.3660457,27.223154,4.4426317,0
147872807,0.82274896,-0.013062726,0.18569669,0.5370571,-3.196393,1.48421,8.816915,2.8678217,26.344982,3.6926675,0
147906141,0.8208092,-0.014957679,0.19241402,0.53761095,-3.295804,1.5047276,8.647918,6.3925385,23.079157,4.416912,0
147939475,0.81856614,-0.017422996,0.19992396,0.53821605,-3.5745778,1.571188,8.86332,6.2080193,26.554213,4.7938495,0
147972809,0.81620246,-0.020163951,0.2073234,0.53891,-3.6994395,1.6372101,9.142261,5.172384,26.818384,5.081291,0
148006143,0.81424403,-0.022402076,0.21205771,0.5399411,-3.9707053,1.8102088,9.171428,1.4456104,18.09051,5.45768,0
148039477,0.8123305,-0.025365846,0.21556076,0.5413035,-4.0505824,1.7972524,9.160814,-3.1044638,15.919553,5.683939,0
148072811,0.81022334,-0.029257616,0.21939068,0.5427246,-3.9762442,1.8996859,9.038877,-5.14482,18.687082,5.551933,0
148106145,0.80805284,-0.03288557,0.22330001,0.5441566,-3.9552033,1.9751796,8.79074,-4.2826343,18.463388,5.905607,0
148139479,0.80568784,-0.03594836,0.22708422,0.54590094,-4.096323,2.1549733,8.824979,-3.2276137,17.172003,7.5493145,0
148172813,0.80316705,-0.038041238,0.23102112,0.54781836,-3.9801102,2.0022304,8.594771,-0.43447027,15.876831,9.087995,0
148206147,0.7999555,-0.039326265,0.23682961,0.54994226,-4.1891065,2.0192585,8.675998,5.0505157,20.050617,11.839529,0
148239481,0.79664886,-0.04046794,0.24193662,0.5524306,-4.444595,2.1156747,8.977667,3.7962098,17.882488,13.040103,0
148272815,0.7936333,-0.041042965,0.2455197,0.5551412,-4.583345,2.070696,8.790044,2.3009112,12.35838,13.353939,0
148306149,0.7905881,-0.041472048,0.24817562,0.5582648,-4.548782,2.137633,8.820521,0.5696704,9.511863,14.530174,0
148339483,0.78761566,-0.04186329,0.25005457,0.5615888,-4.5819063,2.1139295,8.878895,-0.9824238,7.237342,14.8563175,0
148372817,0.78451383,-0.042527225,0.25187495,0.56505626,-4.5356293,2.125499,8.772719,-1.9752982,7.700206,15.252103,0
148406151,0.78134143,-0.042865,0.2539886,0.56846994,-4.658207,2.1727767,8.744004,-0.48999858,7.928761,15.570945,0
148439485,0.7779783,-0.043205023,0.2561998,0.572053,-4.608237,2.347172,8.706237,-0.48473543,8.33469,16.411419,0
148472819,0.77471864,-0.04199673,0.25750622,0.5759672,-4.646601,2.243024,8.778892,1.5923077,2.732136,18.320778,0
148506153,0.7717587,-0.03990239,0.25789502,0.57990235,-4.473885,2.326912,8.695582,2.16202,-1.7286158,18.43658,0
148539487,0.7681616,-0.03919963,0.2594135,0.5840341,-4.451503,2.4252555,8.602959,0.45755097,4.5912194,19.147987,0
148572821,0.7644697,-0.03812132,0.26105782,0.5882021,-4.500574,2.506588,8.644317,1.6518368,4.2561893,19.783384,0
148606155,0.7609212,-0.036408924,0.2618453,0.5925457,-4.4767213,2.598246,8.632362,1.4403354,0.57800835,20.408628,0
148639489,0.7570678,-0.03490879,0.2624415,0.59728926,-4.501769,2.6206033,8.65232,0.090243764,0.74016404,21.85712,0
148672823,0.75311667,-0.032582644,0.2617655,0.60268795,-4.497393,2.6540458,8.76175,-0.97831106,-4.252769,24.35411,0
148706157,0.7493223,-0.03089411,0.26035938,0.6080912,-4.3614535,2.6736248,8.665331,-4.1290708,-4.957808,23.38618,0
148739491,0.7449901,-0.030250812,0.25918907,0.6139185,-4.3623233,2.6550477,8.536689,-6.766202,-1.7234882,24.691069,0
148772825,0.74089974,-0.029388659,0.25680822,0.6198818,-4.433264,2.6133347,8.665573,-8.855967,-5.518625,24.601727,0
148806159,0.7372493,-0.027019914,0.2533866,0.6257225,-4.190254,2.5894341,8.4905615,-7.078174,-11.75953,24.582867,0
148839493,0.7335254,-0.024945581,0.25147712,0.63093394,-3.9973633,2.6409495,8.2502985,-4.027208,-7.17296,23.034815,0
148872827,0.7291414,-0.023577431,0.25143683,0.6360632,-3.8575385,2.663257,8.228174,-1.742414,-0.3502757,23.8094,0
148906161,0.7250985,-0.022746071,0.25075907,0.6409641,-3.925163,2.7751548,8.567259,-4.2570977,-1.048809,21.976866,0
148939495,0.72126704,-0.022930946,0.24819586,0.64625615,-3.9819894,2.8842397,8.735703,-11.266002,-3.7155888,21.46059,0
148972829,0.71771526,-0.024542663,0.24550985,0.6511586,-4.0681663,2.7646973,8.585817,-14.723115,-1.0590999,18.64635,0
149006163,0.71393156,-0.025568472,0.24388504,0.6558722,-4.018245,2.6894917,8.473755,-10.761562,0.44868308,19.289553,0
149039497,0.71031564,-0.025718966,0.24219184,0.66040397,-3.943393,2.552283,8.60757,-8.596534,-1.8263123,19.200075,0
149072831,0.70692796,-0.025910841,0.24054047,0.6646216,-3.8225315,2.4825654,8.471614,-8.309479,-1.7958574,17.896637,0
149106165,0.7034679,-0.02707176,0.23956876,0.66858566,-3.7286656,2.516277,8.508005,-8.897639,2.150898,16.71414,0
149139499,0.70009667,-0.028245954,0.23837698,0.67249054,-3.7801154,2.5148575,8.664077,-9.368551,1.5843425,16.343908,0
149172833,0.6968725,-0.02865026,0.23684178,0.6763535,-3.739969,2.5707486,8.6053705,-8.249672,-1.1371772,16.509567,0
149206167,0.6936769,-0.028581668,0.23582458,0.67998713,-3.675101,2.6135921,8.571119,-5.717975,-0.99482685,16.335402,0
149239501,0.6908397,-0.028455295,0.23494421,0.6831779,-3.6164908,2.706843,8.594269,-4.8626704,-1.0491958,14.506156,0
149272835,0.6877764,-0.029024392,0.2342165,0.6864866,-3.6141312,2.7155771,8.577299,-6.274826,1.1210046,14.769471,0
149306169,0.6846959,-0.029183771,0.23334537,0.68984765,-3.7157884,2.697775,8.718079,-5.6881986,-0.17610717,15.25166,0
149339503,0.6816504,-0.02851974,0.23213112,0.6932926,-3.6985378,2.7480202,8.690529,-4.6265173,-2.9745429,15.996621,0
149372837,0.67855656,-0.027948322,0.23165871,0.6965013,-3.6111636,2.7849984,8.720604,-2.892619,-0.9562919,15.560971,0
149406171,0.67549264,-0.02691634,0.23037423,0.69993794,-3.5736897,2.8366663,8.903066,-3.941619,-3.9977555,16.310976,0
149439505,0.6724339,-0.02590268,0.22836344,0.70357084,-3.5036852,2.909871,8.789131,-5.8885217,-5.65887,16.67117,0
149472839,0.66940016,-0.025930624,0.22686917,0.70693827,-3.478173,2.8720462,8.793959,-6.8417487,-1.9403554,15.222421,0
149506173,0.66649795,-0.026219895,0.22554111,0.71008754,-3.4629395,2.8334749,8.742281,-6.860033,-1.0061153,14.2101965,0
149539507,0.6635478,-0.02710271,0.22465304,0.71309257,-3.4421518,2.8252542,8.781672,-7.041498,1.4995228,13.576655,0
149572841,0.66071963,-0.02744502,0.22280498,0.7162781,-3.417636,2.801987,8.896755,-8.291772,-2.124966,14.017693,0
149606175,0.6577456,-0.02715409,0.22081512,0.7196347,-3.3649383,2.7099824,8.709681,-7.3472834,-3.909718,15.23742,0
149639509,0.65468585,-0.027219655,0.21951264,0.722814,-3.329902,2.6588664,8.760681,-6.3243876,-1.3926699,14.8465605,0
149672843,0.6518537,-0.027798997,0.21771675,0.72588795,-3.2654123,2.6945221,8.907111,-8.602486,-1.3864975,13.613876,0
149706177,0.64915144,-0.02867341,0.21547031,0.7289395,-3.2311943,2.5872707,8.79266,-10.354987,-1.751288,12.977266,0
149739511,0.6462613,-0.029382022,0.21397974,0.73191243,-3.2063906,2.615466,8.860459,-8.046373,-0.33008486,13.475596,0
149772845,0.643412,-0.029592693,0.21292065,0.7347178,-3.2939608,2.5342326,8.986322,-5.722708,-0.6348127,13.415426,0
149806179,0.6408578,-0.029084023,0.21171954,0.73731285,-3.1793692,2.596429,9.016171,-4.298136,-2.9578393,12.725387,0
149839513,0.63820356,-0.029345049,0.20967335,0.74018383,-3.2122173,2.6413639,9.140541,-8.341577,-2.8184497,12.946234,0
149872847,0.6356017,-0.029653724,0.20737527,0.74305224,-3.2288263,2.5671055,9.0378065,-9.074868,-3.285436,12.753483,0
149906181,0.6326773,-0.029961748,0.20464568,0.7462857,-3.1038473,2.5622103,9.198653,-10.463968,-4.0365157,14.336405,0
149939515,0.6297057,-0.03052566,0.20046547,0.7499018,-3.0680566,2.5430927,9.410234,-15.00937,-6.535516,14.964154,0
149972849,0.6269998,-0.030258033,0.19556566,0.75346524,-2.9996674,2.4552588,9.201635,-14.993309,-10.408236,14.666677,0
150006183,0.62436116,-0.02911981,0.19216813,0.75656915,-2.8964987,2.4244125,9.174933,-8.904014,-9.419913,14.246759,0
150039517,0.62159747,-0.027281139,0.18896516,0.75971365,-2.7960489,2.4284663,9.357648,-6.928741,-10.740821,15.143192,0
150072851,0.61898345,-0.025030762,0.18486102,0.7629281,-2.6113427,2.439896,9.27782,-8.428749,-13.837536,15.085373,0
150106185,0.6164003,-0.023074333,0.18001649,0.7662325,-2.650916,2.406723,9.358928,-11.047344,-14.661561,14.941653,0
150139519,0.6139311,-0.022142211,0.17408837,0.7696048,-2.6163304,2.3732688,9.503246,-16.100246,-14.333192,14.067805,0
150172853,0.6111047,-0.021969935,0.16668867,0.7734878,-2.4601686,2.274157,9.695143,-21.925976,-15.251401,15.524032,0
150206187,0.60807246,-0.020704033,0.15860417,0.77760166,-2.3682828,2.0694208,9.659466,-21.588442,-19.492168,17.133432,0
150239521,0.6051304,-0.019055257,0.1502925,0.7815794,-2.246353,1.9850411,9.596209,-21.305035,-21.02707,16.805265,0
150272855,0.6027838,-0.017085362,0.14172232,0.78503174,-2.1164467,1.800701,9.556853,-21.01066,-22.700342,14.267464,0
150306189,0.6003743,-0.0152773885,0.13455921,0.7881695,-1.9546825,1.7158166,9.335859,-17.38819,-19.29794,13.796773,0
150339523,0.598204,-0.012694845,0.12750962,0.79103243,-1.8501507,1.6474745,9.494331,-15.332208,-21.259325,12.953441,0
150372857,0.5962187,-0.009695958,0.12045974,0.79367423,-1.6082913,1.5374498,9.305812,-14.361561,-22.462656,12.184081,0
150406191,0.5943307,-0.0072056223,0.114454165,0.7960022,-1.430111,1.5369126,9.342716,-12.41218,-18.960356,11.103055,0
150439525,0.5927569,-0.0044260845,0.10786636,0.79811317,-1.4141775,1.5256528,9.477874,-13.315029,-21.0554,9.899444,0
150472859,0.5911084,-0.0021419232,0.10180215,0.8001391,-1.2371289,1.4568793,9.379481,-12.851794,-18.598846,9.75727,0
150506193,0.5893388,-0.00040794033,0.09589136,0.8021749,-1.1696863,1.2953147,9.550652,-13.547029,-16.728271,9.918997,0
150539527,0.58803123,0.0017991408,0.090909936,0.8037112,-0.97798806,1.060778,9.473949,-9.848295,-16.297777,7.7964587,0
150572861,0.58699656,0.0031156961,0.08663974,0.80493414,-0.8167356,1.0934776,9.622742,-9.572233,-12.477731,6.1315155,0
150606195,0.5861538,0.004264758,0.08164304,0.8060645,-0.8976635,1.0289071,9.784448,-11.882834,-13.52876,5.3747334,0
150639529,0.5854995,0.0063521573,0.07703647,0.8069792,-0.82008934,1.0301158,9.616545,-8.839355,-15.394834,4.684319,0
150672863,0.5850228,0.008107113,0.072514266,0.80772793,-0.7357464,1.1081116,9.775856,-9.225069,-14.349635,3.7718866,0
150706197,0.5844859,0.010050643,0.06711901,0.80856085,-0.6014015,1.0565476,9.807154,-11.2849,-16.607353,4.178631,0
150739531,0.5842454,0.011454226,0.06182158,0.80913794,-0.47187757,0.9108182,9.614594,-12.042849,-14.982163,2.7131069,0
150772865,0.5839375,0.013322571,0.057155225,0.80967444,-0.4551193,0.8228686,9.627228,-9.335704,-14.988298,2.8927338,0
150806199,0.5836868,0.0154993655,0.052950658,0.8101023,-0.38248703,0.83133924,9.693237,-7.4035864,-14.932539,2.5587606,0
150839533,0.5836894,0.017072573,0.048775125,0.810331,-0.23973158,0.8168445,9.702871,-8.505829,-13.245673,1.3429779,0
150872867,0.5837729,0.019375036,0.04516172,0.81042844,-0.23468825,0.6112005,9.54387,-5.453013,-14.164421,0.9442121,0
150906201,0.5839028,0.021470293,0.041638643,0.81047076,-0.14587384,0.6417556,9.721103,-5.600855,-13.413008,0.672806,0
150939535,0.58437324,0.023170419,0.03750092,0.810287,0.011941701,0.6309567,9.796039,-8.090613,-13.605938,-0.7381414,0
150972869,0.5852541,0.025164505,0.033878837,0.80975115,-0.017765816,0.5565104,9.616296,-6.0432134,-13.463179,-2.5895674,0
